environment,agent,run,time_steps,score
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,7,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,8,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,9,73,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,10,73,0.93
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,1,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,2,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,3,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,4,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,5,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,6,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,7,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,8,42,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,9,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,10,39,0.99
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,1,712,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,2,706,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,3,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,4,705,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,5,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,6,717,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,7,717,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,8,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,9,705,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,10,706,0.92
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,1,391,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,2,385,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,3,423,0.98
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,4,375,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,5,368,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,6,377,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,7,377,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,8,380,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,9,373,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,10,383,0.99
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,1,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,2,418,0.93
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,3,414,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,4,414,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,5,415,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,6,413,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,7,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,8,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,9,413,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,10,414,0.94
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,1,249,0.99
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,2,259,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,3,272,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,4,268,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,5,242,0.99
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,6,291,0.97
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,7,261,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,8,255,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,9,268,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,10,246,0.99
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,1,306,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,2,304,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,3,305,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,4,304,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,5,304,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,6,306,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,7,303,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,8,306,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,9,306,0.92
environments/non_square/nonsquare_3x30,TPVacuumModelReflexLocAgent,10,306,0.92
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,1,173,0.98
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,2,204,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,3,204,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,4,204,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,5,186,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,6,204,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,7,182,0.98
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,8,174,0.98
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,9,204,0.97
environments/non_square/nonsquare_3x30,HahVacuumModelReflexBumpAgent,10,205,0.96
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,1,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,2,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,3,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,4,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,5,92,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,6,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,7,91,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,8,90,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,9,90,0.93
environments/non_square/nonsquare_3x8,TPVacuumModelReflexLocAgent,10,90,0.93
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,1,45,1.00
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,2,51,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,3,51,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,4,48,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,5,48,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,6,50,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,7,45,1.00
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,8,51,0.99
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,9,46,1.00
environments/non_square/nonsquare_3x8,HahVacuumModelReflexBumpAgent,10,43,1.00
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,1,535,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,2,533,0.93
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,3,534,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,4,535,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,5,533,0.93
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,6,536,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,7,536,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,8,533,0.93
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,9,534,0.92
environments/non_square/nonsquare_40x4,TPVacuumModelReflexLocAgent,10,535,0.92
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,1,348,0.97
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,2,325,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,3,329,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,4,351,0.97
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,5,330,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,6,329,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,7,335,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,8,328,0.98
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,9,354,0.97
environments/non_square/nonsquare_40x4,HahVacuumModelReflexBumpAgent,10,305,0.98
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,1,194,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,2,193,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,3,192,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,4,193,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,5,193,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,6,192,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,7,192,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,8,191,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,9,191,0.94
environments/non_square/nonsquare_5x12,TPVacuumModelReflexLocAgent,10,191,0.94
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,1,128,0.98
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,2,119,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,3,109,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,4,119,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,5,116,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,6,111,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,7,117,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,8,119,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,9,119,0.99
environments/non_square/nonsquare_5x12,HahVacuumModelReflexBumpAgent,10,121,0.99
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,1,751,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,2,752,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,3,752,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,4,752,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,5,751,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,6,754,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,7,752,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,8,753,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,9,751,0.94
environments/non_square/nonsquare_5x50,TPVacuumModelReflexLocAgent,10,758,0.93
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,1,540,0.97
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,2,486,0.98
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,3,559,0.97
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,4,519,0.98
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,5,587,0.96
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,6,561,0.97
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,7,541,0.97
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,8,479,0.98
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,9,499,0.98
environments/non_square/nonsquare_5x50,HahVacuumModelReflexBumpAgent,10,548,0.97
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,1,201,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,2,201,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,3,202,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,4,202,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,5,199,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,6,199,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,7,204,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,8,200,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,9,199,0.89
environments/non_square/single_track_maze,TPVacuumModelReflexLocAgent,10,202,0.89
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,1,93,0.99
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,2,87,0.99
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,3,73,1.00
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,4,97,0.98
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,5,97,0.98
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,6,89,0.99
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,7,87,0.99
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,8,98,0.98
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,9,95,0.98
environments/non_square/single_track_maze,HahVacuumModelReflexBumpAgent,10,97,0.98
