environment,agent,run,time_steps,score
3,HahVacuumModelReflexBumpAgent,8,21,1.00
4,HahVacuumModelReflexBumpAgent,8,35,1.00
5,HahVacuumModelReflexBumpAgent,8,62,0.99
6,HahVacuumModelReflexBumpAgent,8,82,0.99
7,HahVacuumModelReflexBumpAgent,8,111,0.99
8,HahVacuumModelReflexBumpAgent,8,144,0.99
9,HahVacuumModelReflexBumpAgent,8,186,0.99
10,HahVacuumModelReflexBumpAgent,8,217,1.00
3,HahRandomAgent,9,78,0.82
4,HahRandomAgent,9,134,0.66
5,HahRandomAgent,9,206,0.46
6,HahRandomAgent,9,294,0.68
7,HahRandomAgent,9,398,0.50
8,HahRandomAgent,9,518,0.39
9,HahRandomAgent,9,654,0.42
10,HahRandomAgent,9,806,0.33
3,HahVacuumModelReflexBumpAgent,9,22,1.00
4,HahVacuumModelReflexBumpAgent,9,35,1.00
5,HahVacuumModelReflexBumpAgent,9,57,1.00
6,HahVacuumModelReflexBumpAgent,9,82,0.99
7,HahVacuumModelReflexBumpAgent,9,115,0.99
8,HahVacuumModelReflexBumpAgent,9,140,1.00
9,HahVacuumModelReflexBumpAgent,9,184,0.99
10,HahVacuumModelReflexBumpAgent,9,228,0.99
3,HahRandomAgent,10,78,0.73
4,HahRandomAgent,10,134,0.71
5,HahRandomAgent,10,206,0.68
6,HahRandomAgent,10,294,0.50
7,HahRandomAgent,10,398,0.41
8,HahRandomAgent,10,518,0.41
9,HahRandomAgent,10,654,0.46
10,HahRandomAgent,10,806,0.33
3,HahVacuumModelReflexBumpAgent,10,19,1.01
4,HahVacuumModelReflexBumpAgent,10,35,1.00
5,HahVacuumModelReflexBumpAgent,10,54,1.00
6,HahVacuumModelReflexBumpAgent,10,83,0.99
7,HahVacuumModelReflexBumpAgent,10,111,0.99
8,HahVacuumModelReflexBumpAgent,10,143,0.99
9,HahVacuumModelReflexBumpAgent,10,190,0.99
10,HahVacuumModelReflexBumpAgent,10,230,0.99
